season,district,zone,temperature,humidity,rainfall,light,n,p,k,variety,yield
1,Trincomalee,0,28.4,86.3,223.0,4.8,38.6,22.3,59.6,Bg352,6.46
1,Hambantota,0,29.1,70.2,134.1,7.3,41.7,27.3,32.3,Bg352,6.32
1,Matara,1,27.3,83.3,233.7,6.0,37.7,26.7,39.7,Bw367,5.39
1,Ratnapura,1,24.9,89.1,322.8,4.1,63.4,21.8,27.6,Ld368,5.32
0,Hambantota,0,32.9,73.1,34.1,7.6,57.6,37.6,29.9,At362,6.2
0,Kandy,1,26.5,76.9,140.5,6.9,43.4,23.3,47.7,Bw367,5.8
1,Matara,1,26.9,88.3,246.8,5.5,61.4,35.8,63.4,Bw367,6.67
0,Kegalle,1,28.1,85.3,265.7,5.9,49.8,20.6,57.1,Ld368,5.6
0,Anuradhapura,0,34.0,67.7,41.0,7.7,64.9,48.3,54.2,At362,6.32
0,Anuradhapura,0,31.2,63.6,38.5,9.1,54.3,33.2,27.5,At362,6.2
0,Monaragala,0,32.3,65.7,66.8,7.8,73.4,54.0,53.9,Bg300,6.05
0,Colombo,1,29.1,79.1,188.3,7.1,31.1,50.8,44.0,Bw367,5.8
1,Hambantota,0,27.4,76.0,121.2,6.3,81.9,44.0,52.8,Bg352,7.82
1,Polonnaruwa,0,28.4,81.3,206.1,6.3,40.3,55.7,46.6,Bg352,7.14
1,Trincomalee,0,25.8,81.3,217.8,5.9,77.3,20.3,45.4,Bg366,7.35
1,Matale,1,24.7,79.2,195.1,6.2,47.8,35.8,53.1,Bw367,6.09
1,Badulla,1,23.9,88.6,182.6,5.5,46.5,26.4,26.5,Bw367,5.39
1,Badulla,1,22.5,79.5,183.4,6.2,43.2,20.8,44.6,Bw367,6.09
1,Ampara,0,27.7,77.8,206.1,5.1,74.2,38.8,64.3,Bg366,8.05
0,Galle,1,28.3,83.4,224.6,6.3,22.2,38.6,52.1,Bw367,5.8
0,Kurunegala,0,30.2,73.5,100.2,7.8,41.3,57.5,30.5,Bg300,5.5
0,Nuwara Eliya,1,18.2,80.7,224.5,5.0,34.3,54.9,63.6,Bw367,6.38
0,Monaragala,0,33.1,64.9,58.4,8.3,66.6,54.3,41.2,Bg300,5.61
1,Anuradhapura,0,29.1,82.4,188.6,6.3,61.9,34.9,62.6,Bg366,8.05
1,Colombo,1,27.8,81.5,254.8,5.5,31.0,34.8,32.2,Ld368,5.21
0,Kandy,1,28.2,76.1,151.3,6.5,55.0,25.0,48.6,Bw367,5.8
0,Ampara,0,33.2,68.1,48.0,8.4,55.5,46.8,59.6,Bg300,5.61
0,Kegalle,1,29.0,84.7,256.3,7.1,45.8,26.2,60.3,Ld368,5.6
0,Matale,1,30.3,74.3,134.0,7.7,66.9,26.8,40.4,Bw367,5.8
1,Anuradhapura,0,28.0,76.7,176.8,6.6,81.2,22.8,33.4,Bg366,7.35
1,Ratnapura,1,25.4,86.5,313.9,4.5,76.7,20.5,53.4,Ld368,5.88
0,Trincomalee,0,33.4,61.2,47.7,9.1,24.5,20.2,50.1,Bg300,4.4
1,Anuradhapura,0,28.6,81.0,191.7,5.7,50.7,23.8,48.1,Bg352,7.14
1,Badulla,1,21.1,82.0,191.1,5.2,75.5,25.9,63.6,Bw367,6.67
1,Trincomalee,0,28.0,80.9,217.3,5.7,37.6,25.3,63.8,Bg352,7.14
1,Nuwara Eliya,1,14.1,89.0,278.0,4.4,43.8,22.4,28.2,Ld368,4.65
1,Matale,1,25.2,79.7,189.7,5.1,60.2,43.6,51.4,Bw367,6.67
1,Anuradhapura,0,28.1,79.6,178.1,6.4,32.6,42.6,31.3,Bg352,7.14
1,Colombo,1,26.4,77.4,250.7,6.3,56.1,18.9,44.7,Ld368,5.88
