temperature,humidity,soil_moisture,rain,season_encoded,variety
28.7,93.3,68.6,1,0,Samba_BG300
29.5,63.5,46.7,1,1,Red Rice
32.1,60.7,87.6,1,1,Nadu_BG366
26.8,66.4,34.3,1,1,Samba_BG300
25.2,78.4,42.0,0,1,Red Rice
28.7,76.0,72.8,0,0,Samba_BG300
34.8,76.3,78.8,1,0,Samba_BG300
25.7,93.2,87.3,1,0,Samba_BG300
25.2,68.1,29.3,1,1,Red Rice
30.0,61.2,82.7,0,1,Nadu_BG366
29.3,67.3,55.4,0,1,White Rice
29.5,73.8,84.1,1,0,Samba_BG300
25.9,66.9,13.6,1,1,Red Rice
32.5,78.9,56.9,1,1,White Rice
27.8,70.4,23.2,0,0,Red Rice
32.7,67.0,10.4,1,0,Red Rice
32.1,87.7,58.5,1,1,Samba_BG352
34.1,89.8,46.0,0,0,Samba_BG300
28.1,71.4,68.4,1,0,Samba_BG300
30.6,73.4,87.7,1,0,Samba_BG300
30.6,87.0,49.5,1,0,Samba_BG300
26.1,75.4,26.1,1,0,Red Rice
28.1,77.8,82.6,0,0,Samba_BG300
30.4,67.1,85.4,1,0,Samba_BG300
26.6,92.5,74.6,1,1,Nadu_BG366
33.8,71.4,19.8,1,1,Red Rice
26.1,68.0,44.2,1,0,Samba_BG300
28.0,65.8,52.7,1,0,Samba_BG300
26.2,71.8,85.4,1,1,Keeri Samba
29.0,62.3,30.3,0,0,Samba_BG300
30.0,70.5,32.8,0,0,Samba_BG300
34.8,74.4,12.6,1,0,Red Rice
27.4,65.1,49.2,1,1,Red Rice
30.9,62.8,39.6,0,1,Red Rice
28.7,82.1,60.7,1,1,White Rice
33.4,71.2,24.9,0,1,Red Rice
28.3,67.7,66.9,1,1,White Rice
26.0,92.9,41.8,1,1,Red Rice
26.4,71.9,19.1,1,1,Red Rice
32.0,68.0,24.0,1,1,Red Rice
30.3,68.5,17.4,1,0,Red Rice
33.8,66.6,32.3,1,1,Samba_BG300
34.0,91.0,72.4,1,0,Samba_BG300
34.4,87.5,63.5,1,1,White Rice
34.4,94.1,32.7,1,1,Samba_BG300
31.9,82.8,27.9,1,0,Red Rice
29.9,66.3,39.3,1,0,Samba_BG300
31.6,79.9,17.5,1,0,Red Rice
27.5,80.6,88.3,1,1,Nadu_BG360
29.3,72.3,61.6,1,0,Samba_BG300
27.0,85.3,32.5,0,0,Samba_BG300
25.4,94.8,47.6,0,1,Red Rice
28.7,60.5,84.3,1,0,Samba_BG300
30.7,94.3,16.0,1,1,Red Rice
33.5,71.1,23.6,1,0,Red Rice
33.4,92.6,15.6,0,0,Red Rice
34.9,64.9,51.5,1,0,Samba_BG300
33.5,64.8,66.7,1,1,Samba_BG352
29.2,69.0,58.9,0,0,Samba_BG300
30.0,87.9,62.0,1,1,White Rice
33.9,71.8,40.0,0,0,Samba_BG300
31.7,71.5,22.4,1,1,Red Rice
30.9,61.1,13.0,1,1,Red Rice
30.4,71.4,76.2,0,1,Keeri Samba
29.6,89.5,25.6,1,0,Red Rice
31.4,85.4,88.1,1,1,Nadu_BG360
33.0,69.5,45.1,0,0,Samba_BG300
26.8,62.8,44.3,1,0,Samba_BG300
26.7,65.5,30.0,1,1,Samba_BG300
26.8,92.7,61.1,1,1,Samba_BG352
29.4,85.6,13.8,1,0,Red Rice
32.6,60.5,19.3,0,0,Red Rice
28.1,94.3,24.0,0,1,Red Rice
29.9,76.6,23.9,1,0,Red Rice
25.5,93.2,80.9,0,1,Nadu_BG366
34.3,77.5,53.2,1,1,White Rice
34.4,93.0,79.4,1,1,Nadu_BG360
30.7,64.5,74.9,1,1,Nadu_BG360
33.2,82.8,26.5,0,1,Red Rice
26.0,60.6,17.6,1,0,Red Rice
31.6,73.5,64.5,1,0,Samba_BG300
27.8,64.1,65.7,1,0,Samba_BG300
25.4,74.6,87.4,1,0,Samba_BG300
32.5,88.2,89.2,1,1,Keeri Samba
32.8,71.9,84.5,1,0,Samba_BG300
31.8,85.9,29.1,1,0,Red Rice
30.1,88.9,35.6,1,0,Samba_BG300
25.5,93.5,77.8,1,1,Nadu_BG366
31.8,76.9,49.4,0,0,Samba_BG300
27.9,71.5,63.8,1,0,Samba_BG300
32.8,64.0,84.5,1,1,Nadu_BG360
25.6,85.8,53.7,1,0,Samba_BG300
26.4,86.7,59.5,0,0,Samba_BG300
29.3,67.8,41.7,1,1,Red Rice
25.8,63.0,88.9,1,0,Samba_BG300
33.8,68.3,82.6,1,1,Nadu_BG360
32.1,76.9,40.2,1,1,Red Rice
34.1,63.9,49.4,0,1,Red Rice
30.7,85.9,71.4,1,0,Samba_BG300
32.5,80.4,87.0,1,0,Samba_BG300
25.8,78.5,44.9,1,0,Samba_BG300
34.7,61.5,81.3,1,0,Samba_BG300
34.2,68.9,65.6,0,0,Samba_BG300
31.3,84.4,46.4,1,1,Red Rice
28.8,85.8,83.2,1,1,Nadu_BG366
29.6,81.7,32.2,0,1,Red Rice
28.9,68.0,31.3,1,1,Samba_BG300
34.9,84.4,52.9,1,1,Samba_BG352
31.8,65.7,82.9,1,1,Nadu_BG360
32.3,81.5,43.5,1,1,Red Rice
30.5,65.8,42.9,1,1,Red Rice
34.9,65.3,57.5,1,1,Samba_BG352
33.4,89.3,47.5,1,0,Samba_BG300
25.1,62.6,65.3,1,0,Samba_BG300
35.0,79.4,71.5,1,1,Nadu_BG360
27.5,75.8,20.3,1,0,Red Rice
27.1,90.7,70.6,0,0,Samba_BG300
26.1,83.5,51.6,1,0,Samba_BG300
28.1,88.6,87.4,0,0,Samba_BG300
29.0,64.7,12.3,1,0,Red Rice
31.4,88.2,82.3,1,1,Nadu_BG366
31.1,82.3,54.4,0,1,White Rice
30.5,75.8,82.8,0,1,Nadu_BG360
32.0,87.9,46.7,1,0,Samba_BG300
