District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone,Temperature,Humidity,Soil_Moisture
Anuradhapura,Dry Zone,Bg 352,2021,Annual,47005,3.5 Months,Long Grain (Nadu),White,No,No,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,Bg 300,2021,Annual,39518,3 Months,Long Grain (Nadu),White,No,No,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,Bw 367,2021,Annual,11314,3.5 Months,Short Grain (Samba),White,No,Yes,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,Bg 310,2021,Annual,3298,3 Months,Long Grain (Nadu),White,Yes,No,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,At 353,2021,Annual,1019,3.5 Months,Long Grain (Nadu),Red,Yes,No,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,Bg 369,2021,Annual,904,3.5 Months,Long Grain (Nadu),White,Yes,No,26.462191780821918,81.42191780821918,0.273413698630137
Anuradhapura,Dry Zone,Bg 352,2022,Annual,21595,3.5 Months,Long Grain (Nadu),White,No,No,26.216438356164385,81.47123287671234,0.29603835616438356
Anuradhapura,Dry Zone,Bg 300,2022,Annual,13229,3 Months,Long Grain (Nadu),White,No,No,26.216438356164385,81.47123287671234,0.29603835616438356
Anuradhapura,Dry Zone,Bg 366,2022,Annual,9532,3.5 Months,Long Grain (Nadu),White,No,No,26.216438356164385,81.47123287671234,0.29603835616438356
Anuradhapura,Dry Zone,Bw 367,2022,Annual,6541,3.5 Months,Short Grain (Samba),White,No,Yes,26.216438356164385,81.47123287671234,0.29603835616438356
Anuradhapura,Dry Zone,At 353,2022,Annual,83,3.5 Months,Long Grain (Nadu),Red,Yes,No,26.216438356164385,81.47123287671234,0.29603835616438356
Anuradhapura,Dry Zone,Bg 352,2023,Annual,38225,3.5 Months,Long Grain (Nadu),White,No,No,26.670684931506848,80.55890410958904,0.28872876712328766
Anuradhapura,Dry Zone,Bg 300,2023,Annual,29558,3 Months,Long Grain (Nadu),White,No,No,26.670684931506848,80.55890410958904,0.28872876712328766
Anuradhapura,Dry Zone,Bg 366,2023,Annual,13678,3.5 Months,Long Grain (Nadu),White,No,No,26.670684931506848,80.55890410958904,0.28872876712328766
Anuradhapura,Dry Zone,Bw 367,2023,Annual,12361,3.5 Months,Short Grain (Samba),White,No,Yes,26.670684931506848,80.55890410958904,0.28872876712328766
Anuradhapura,Dry Zone,Bg 310,2023,Annual,4549,3 Months,Long Grain (Nadu),White,Yes,No,26.670684931506848,80.55890410958904,0.28872876712328766
Anuradhapura,Dry Zone,Bg 369,2023,Annual,114,3.5 Months,Long Grain (Nadu),White,Yes,No,26.670684931506848,80.55890410958904,0.28872876712328766
Ampara,Dry Zone,At 362,2021,Annual,58506,3.5 Months,Long Grain (Nadu),Red,No,No,27.252328767123288,79.24383561643836,0.2763890410958904
Ampara,Dry Zone,Bg 94-1,2021,Annual,27885,3.5 Months,Long Grain (Nadu),White,No,No,27.252328767123288,79.24383561643836,0.2763890410958904
Ampara,Dry Zone,Bg 357,2021,Annual,13615,3.5 Months,Long Grain (Nadu),White,No,No,27.252328767123288,79.24383561643836,0.2763890410958904
Ampara,Dry Zone,Bg 94-1,2022,Annual,3372,3.5 Months,Long Grain (Nadu),White,No,No,26.86,79.73698630136987,0.2970575342465753
Ampara,Dry Zone,At 362,2022,Annual,2410,3.5 Months,Long Grain (Nadu),Red,No,No,26.86,79.73698630136987,0.2970575342465753
