District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone
Kurunegala,Intermediate Zone,Bg 379-2,2022,Yala,1867,4-4.5 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bg 366,2019,Yala,3987,3.5 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bg 310,2020,Yala,16518,3 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,Bg 369,2019,Yala,265,3.5 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,At 354,2022,Maha,258,3.5 Months,Long Grain (Nadu),White,Yes,No
Matale,Intermediate Zone,Ld 368,2024,Maha,3127,3.5 Months,Short Grain (Samba),Red,No,No
Mannar,Dry Zone,Bg 360,2024,Annual,7000,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,Bw 364,2024,Yala,259,3.5 Months,Long Grain (Nadu),Red,No,Yes
Killinochchi,Dry Zone,Bg 359,2019,Yala,2015,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 379-2,2021,Maha,1473,4-4.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 250,2020,Annual,5905,2.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 310,2019,Maha,4327,3 Months,Long Grain (Nadu),White,Yes,No
Killinochchi,Dry Zone,At 354,2022,Annual,355,3.5 Months,Long Grain (Nadu),White,Yes,No
Ampara,Dry Zone,Bg 357,2023,Annual,12909,3.5 Months,Long Grain (Nadu),White,No,No
Puttalam,Dry Zone,At 362,2023,Yala,4577,3.5 Months,Long Grain (Nadu),Red,No,No
Monaragala,Intermediate Zone,At 303,2022,Yala,1914,3 Months,Long Grain (Nadu),Red,No,No
Galle,Wet Zone,Bg 94-1,2022,Maha,4863,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 94-1,2018,Yala,3138,3.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bw 364,2018,Maha,368,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Bg 357,2024,Maha,13659,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,At 362,2021,Yala,5622,3.5 Months,Long Grain (Nadu),Red,No,No
Trincomalee,Dry Zone,Bw 367,2021,Maha,11646,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bw 367,2022,Annual,11186,3.5 Months,Short Grain (Samba),White,No,Yes
