District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone
Anuradhapura,Dry Zone,Bg 352,2021,Annual,47005,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 300,2021,Annual,39518,3 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bw 367,2021,Annual,11314,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bg 310,2021,Annual,3298,3 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,At 353,2021,Annual,1019,3.5 Months,Long Grain (Nadu),Red,Yes,No
Anuradhapura,Dry Zone,Bg 369,2021,Annual,904,3.5 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,Bg 352,2022,Annual,21595,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 300,2022,Annual,13229,3 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 366,2022,Annual,9532,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bw 367,2022,Annual,6541,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,At 353,2022,Annual,83,3.5 Months,Long Grain (Nadu),Red,Yes,No
Anuradhapura,Dry Zone,Bg 352,2023,Annual,38225,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 300,2023,Annual,29558,3 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 366,2023,Annual,13678,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bw 367,2023,Annual,12361,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bg 310,2023,Annual,4549,3 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,Bg 369,2023,Annual,114,3.5 Months,Long Grain (Nadu),White,Yes,No
Ampara,Dry Zone,At 362,2021,Annual,58506,3.5 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Bg 94-1,2021,Annual,27885,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 357,2021,Annual,13615,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 94-1,2022,Annual,3372,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,At 362,2022,Annual,2410,3.5 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Bg 374,2022,Annual,914,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 366,2023,Annual,6638,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 360,2023,Annual,4804,3.5 Months,Short Grain (Samba),White,No,No
Ampara,Dry Zone,At 307,2023,Annual,4709,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 352,2021,Annual,34926,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 300,2021,Annual,34056,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 366,2021,Annual,17802,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 310,2021,Annual,8064,3 Months,Long Grain (Nadu),White,Yes,No
Kurunegala,Intermediate Zone,Bg 352,2022,Annual,31294,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 300,2022,Annual,30289,3 Months,Long Grain (Nadu),White,No,No
