District,Zone,Season,Salinity_Prone,Iron_Toxicity_Prone,Variety_Code
Kurunegala,Intermediate Zone,Yala,No,No,Bg 379-2
Ratnapura,Wet Zone,Yala,No,No,Bg 366
Ratnapura,Wet Zone,Yala,Yes,No,Bg 310
Kalutara,Wet Zone,Yala,Yes,No,Bg 369
Kalutara,Wet Zone,Maha,Yes,No,At 354
Matale,Intermediate Zone,Maha,No,No,Ld 368
Mannar,Dry Zone,Annual,No,No,Bg 360
Trincomalee,Dry Zone,Yala,No,Yes,Bw 364
Killinochchi,Dry Zone,Yala,No,No,Bg 359
Ampara,Dry Zone,Maha,No,No,Bg 379-2
Monaragala,Intermediate Zone,Annual,No,No,Bg 250
Monaragala,Intermediate Zone,Maha,Yes,No,Bg 310
Killinochchi,Dry Zone,Annual,Yes,No,At 354
Ampara,Dry Zone,Annual,No,No,Bg 357
Puttalam,Dry Zone,Yala,No,No,At 362
Monaragala,Intermediate Zone,Yala,No,No,At 303
Galle,Wet Zone,Maha,No,No,Bg 94-1
Kurunegala,Intermediate Zone,Yala,No,No,Bg 94-1
Gampaha,Wet Zone,Maha,No,Yes,Bw 364
Trincomalee,Dry Zone,Maha,No,No,Bg 357
Badulla,Intermediate Zone,Yala,No,No,At 362
Trincomalee,Dry Zone,Maha,No,Yes,Bw 367
Anuradhapura,Dry Zone,Annual,No,Yes,Bw 367
Trincomalee,Dry Zone,Yala,No,No,Attakkari
Puttalam,Dry Zone,Yala,No,No,Bg 250
Kurunegala,Intermediate Zone,Maha,No,Yes,Bw 372
Trincomalee,Dry Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Yala,No,No,At 307
Ampara,Dry Zone,Yala,No,No,Bg 357
Kalutara,Wet Zone,Maha,No,No,Bg 360
Kurunegala,Intermediate Zone,Yala,No,No,Bg 352
Kandy,Intermediate Zone,Yala,No,No,At 307
Badulla,Intermediate Zone,Yala,Yes,No,At 353
Puttalam,Dry Zone,Maha,Yes,No,At 354
Kandy,Intermediate Zone,Maha,No,No,Bg 360
Trincomalee,Dry Zone,Yala,No,Yes,Bw 372
Kegalle,Wet Zone,Yala,No,No,Attakkari
Ampara,Dry Zone,Maha,No,No,At 303
Killinochchi,Dry Zone,Yala,No,No,Attakkari
Batticaloa,Dry Zone,Maha,Yes,Yes,Bw 400
Gampaha,Wet Zone,Yala,No,No,Ld 368
Polonnaruwa,Dry Zone,Yala,No,Yes,Bw 367
Hambantota,Dry Zone,Maha,No,Yes,Bw 364
Anuradhapura,Dry Zone,Annual,No,No,At 362
Mullaitivu,Dry Zone,Maha,No,No,Attakkari
Polonnaruwa,Dry Zone,Maha,No,No,Ld 368
Anuradhapura,Dry Zone,Maha,No,No,Ld 368
Badulla,Intermediate Zone,Maha,No,No,Bg 94-1
Kandy,Intermediate Zone,Maha,Yes,Yes,Bw 400
Gampaha,Wet Zone,Maha,No,Yes,Bw 372
Hambantota,Dry Zone,Annual,No,No,Ld 368
Mullaitivu,Dry Zone,Maha,No,No,Bg 359
Badulla,Intermediate Zone,Yala,Yes,No,Bg 310
Polonnaruwa,Dry Zone,Maha,No,No,Bg 379-2
