District,Gross Extent Sown (Hectares) - Major Schemes,Gross Extent Sown (Hectares) - Minor Schemes,Gross Extent Sown (Hectares) - Rainfed,Gross Extent Harvested (Hectares) - Major Schemes,Gross Extent Harvested (Hectares) - Minor Schemes,Gross Extent Harvested (Hectares) - Rainfed,Average Yield Per Nett Hectare (kg) - Major Schemes,Average Yield Per Nett Hectare (kg) - Minor Schemes,Average Yield Per Nett Hectare (kg) - Rainfed,Average Yield Per Nett Hectare (kg) - Average Yield,Nett Extent Harvested (Hectares),Total Production (MT),Paddy_Type,Temperature_C,Humidity,Soil_Moisture,Total_Land_Size
COLOMBO,319.0,586.0,2314.0,319.0,586.0,2314.0,3060.0,4134.0,3095.0,3281.0,2736.0,8976.0,Maa Wee,29.603290246102404,73.6697025835714,0.19550246391982534,3219.0
GAMPAHA,1768.0,3545.0,5131.0,1655.0,3429.0,4916.0,3980.0,3491.0,3233.0,3445.0,8500.0,29283.0,Bg 406,28.9781602233483,78.6039779340461,0.24351662033866447,10444.0
KALUTARA,167.0,1588.0,9898.0,167.0,1571.0,9854.0,3643.0,3175.0,3409.0,3380.0,10694.0,36149.0,Bg 369,25.655723374796647,68.32143548943398,0.2245467419443397,11653.0
KANDY,3703.0,3059.0,2075.0,3700.0,3047.0,2056.0,5370.0,3046.0,3374.0,4099.0,6961.0,28536.0,Bg 374,27.574010621416036,65.64363479171284,0.3731838877718031,8837.0
MATALE,5076.0,2759.0,386.0,5076.0,2751.0,382.0,5396.0,4487.0,4169.0,5034.0,7382.0,37161.0,Bw 372,26.85641657377208,73.91095214819947,0.16005973042073382,8221.0
NUWARAELIYA,824.0,3579.0,3.0,824.0,3579.0,3.0,6174.0,4131.0,2439.0,4512.0,2483.0,11201.0,Maa Wee,26.707927503653586,70.60056684078158,0.32096690546139495,4406.0
GALLE,299.0,2080.0,9172.0,293.0,1949.0,8673.0,2221.0,3050.0,2810.0,2837.0,8542.0,24233.0,Bw 363,31.81107388326712,77.50968335552616,0.37873760572220716,11551.0
MATARA,4348.0,3282.0,6283.0,4168.0,3213.0,6118.0,3855.0,3491.0,3425.0,3573.0,10658.0,38084.0,Bg 250,27.751684072667324,62.332039108949544,0.4130296910285248,13913.0
HAMBANTOTA,28626.0,4574.0,967.0,28624.0,4570.0,967.0,6207.0,5132.0,3474.0,5986.0,29846.0,178647.0,Bg 94-1,31.244325886239793,89.231844229985,0.25262452461477225,34167.0
MANNAR,1594.0,16.0,2786.0,1594.0,16.0,2767.0,5390.0,3543.0,3301.0,5372.0,1537.0,8259.0,Bg 94-1,29.41797038198084,89.58632233438809,0.3963771914016039,4396.0
VAVUNIYA,392.0,1077.0,4.0,392.0,1076.0,4.0,6294.0,5246.0,3124.0,5520.0,1388.0,7663.0,Bg 251,30.56367912479154,80.94485142059236,0.18318952108656217,1473.0
MULATIVU,4392.0,1069.0,2786.0,4392.0,1069.0,2767.0,5312.0,4468.0,3301.0,5147.0,5152.0,26514.0,Kuruluthuda,28.518459651736343,76.08289099032362,0.40393568752035547,8247.0
KILLINOCHCHI,9963.0,71.0,2786.0,9963.0,71.0,2767.0,5268.0,2695.0,3301.0,5250.0,8904.0,46742.0,Murungakayan,29.038327192384514,69.28582848858983,0.18824659869959473,12820.0
BATTICALOA,22466.0,4491.0,1998.0,22466.0,4479.0,1998.0,4523.0,4794.0,4774.0,4582.0,25545.0,117059.0,Bg 251,28.447623856732047,84.41385059120846,0.26918618716811016,28955.0
AMPARA,58634.0,2253.0,408.0,58169.0,2131.0,408.0,5017.0,4843.0,3796.0,5003.0,58018.0,290263.0,Bg 300,26.36670091458631,80.54193517661638,0.38918860973386615,61295.0
TRINCOMALEE,18500.0,3344.0,268.0,18500.0,3344.0,268.0,5475.0,4304.0,3010.0,5268.0,20542.0,108222.0,Ld 368,30.057164806830535,64.87850818034674,0.19497522820463214,22112.0
KURUNEGALA,13933.0,25135.0,19059.0,13894.0,24293.0,18344.0,4954.0,4348.0,4039.0,4397.0,56531.0,248546.0,At 362,26.96540653708599,87.32781553481527,0.21877541856979243,58127.0
PUTTALAM,7067.0,7094.0,1021.0,6970.0,6505.0,788.0,4818.0,3934.0,3526.0,4343.0,12123.0,52656.0,Bg 251,25.170211765020177,84.67611728769506,0.3666757705179199,15182.0
