district,paddyType,season,quantity,price
Ampara,Keeri Samba,Yala,3054,131
Kandy,Nadu,Maha,4960,110
Ampara,Nadu,Yala,1087,100
Kandy,Samba,Yala,1244,125
Ampara,Nadu,Maha,3882,111
Ampara,Keeri Samba,Maha,2841,141
Ampara,Samba,Maha,1478,135
Kandy,Nadu,Maha,3627,113
Badulla,Nadu,Yala,4211,100
Kandy,Keeri Samba,Maha,3635,143
Monaragala,Keeri Samba,Yala,2208,130
Kandy,Samba,Maha,2198,134
Badulla,Keeri Samba,Yala,2497,136
Monaragala,Samba,Yala,1006,125
Monaragala,Samba,Yala,2304,118
Ampara,Samba,Yala,3994,122
Kandy,Nadu,Maha,4393,108
Badulla,Keeri Samba,Yala,4092,136
Badulla,Samba,Yala,2175,126
Badulla,Keeri Samba,Yala,1484,129
Kandy,Nadu,Yala,4444,103
Ampara,Keeri Samba,Maha,2438,145
Kandy,Samba,Maha,3321,131
Ampara,Nadu,Maha,4071,118
Monaragala,Samba,Maha,4918,127
Kandy,Keeri Samba,Yala,2138,136
Ampara,Nadu,Maha,3035,114
Kandy,Samba,Yala,3392,125
Kandy,Samba,Maha,845,136
Badulla,Samba,Yala,4329,116
Kandy,Keeri Samba,Yala,1347,129
Ampara,Keeri Samba,Maha,4524,143
Kandy,Nadu,Maha,2310,108
Monaragala,Samba,Maha,3921,137
Kandy,Nadu,Maha,3812,112
Ampara,Keeri Samba,Yala,4386,134
Ampara,Nadu,Maha,550,113
Badulla,Keeri Samba,Maha,2567,140
Kandy,Samba,Yala,742,126
Badulla,Keeri Samba,Yala,4596,130
Kandy,Nadu,Yala,4973,105
Ampara,Samba,Yala,4531,129
Badulla,Keeri Samba,Yala,4619,126
Badulla,Keeri Samba,Maha,698,143
Badulla,Nadu,Maha,2913,109
Kandy,Keeri Samba,Maha,1490,143
Kandy,Keeri Samba,Maha,710,147
Kandy,Keeri Samba,Maha,1901,142
Badulla,Keeri Samba,Maha,2914,143
Badulla,Keeri Samba,Yala,3945,129
Ampara,Nadu,Maha,2713,114
Ampara,Samba,Maha,3588,138
Kandy,Keeri Samba,Maha,3893,146
Ampara,Samba,Yala,3844,121
Kandy,Keeri Samba,Yala,4365,132
Badulla,Keeri Samba,Yala,527,127
Kandy,Keeri Samba,Maha,3176,139
Monaragala,Samba,Yala,4880,119
Monaragala,Nadu,Yala,708,101
Kandy,Keeri Samba,Maha,1478,140
Monaragala,Samba,Yala,2342,119
Monaragala,Samba,Maha,3387,131
Monaragala,Keeri Samba,Yala,4057,131
Kandy,Nadu,Maha,2847,112
Badulla,Samba,Maha,3190,126
Ampara,Nadu,Maha,1251,118
Monaragala,Keeri Samba,Maha,644,139
Ampara,Keeri Samba,Yala,2996,134
Badulla,Samba,Maha,2148,130
Ampara,Keeri Samba,Maha,4946,145
Ampara,Samba,Maha,2270,136
Badulla,Nadu,Yala,1624,99
Ampara,Nadu,Maha,621,110
Monaragala,Samba,Maha,2330,133
Monaragala,Nadu,Yala,3339,107
Ampara,Nadu,Maha,2211,112
Badulla,Nadu,Maha,1278,115
Ampara,Samba,Yala,4751,126
Ampara,Keeri Samba,Maha,1955,147
Monaragala,Nadu,Yala,670,102
Monaragala,Samba,Yala,3851,124
Badulla,Keeri Samba,Maha,3657,136
Monaragala,Nadu,Yala,1846,100
Kandy,Keeri Samba,Yala,2984,129
Monaragala,Keeri Samba,Maha,4761,140
Badulla,Nadu,Maha,1372,110
Ampara,Nadu,Yala,4603,101
Monaragala,Samba,Yala,1416,120
Monaragala,Nadu,Maha,4298,111
Ampara,Keeri Samba,Maha,3622,150
Ampara,Nadu,Yala,1523,100
Kandy,Samba,Yala,552,119
Badulla,Samba,Yala,1733,116
Kandy,Nadu,Yala,2205,108
Badulla,Keeri Samba,Maha,1670,141
Badulla,Nadu,Maha,1074,111
Ampara,Keeri Samba,Maha,2488,149
Monaragala,Nadu,Yala,2590,103
Kandy,Keeri Samba,Yala,2191,138
Monaragala,Nadu,Yala,1257,103
Ampara,Keeri Samba,Yala,4076,133
Kandy,Samba,Maha,2761,128
Kandy,Samba,Maha,3051,133
Badulla,Samba,Yala,4010,117
Badulla,Samba,Maha,4374,128
Kandy,Samba,Yala,1748,124
Badulla,Nadu,Yala,1411,100
Monaragala,Samba,Maha,3327,129
Kandy,Samba,Yala,2479,123
Ampara,Samba,Yala,2907,120
Ampara,Samba,Yala,943,130
Kandy,Keeri Samba,Maha,3943,143
Monaragala,Nadu,Yala,4754,106
Monaragala,Samba,Maha,4428,129
Monaragala,Nadu,Maha,1166,113
Ampara,Keeri Samba,Maha,2994,150
Kandy,Nadu,Maha,3292,115
Monaragala,Keeri Samba,Maha,934,142
Badulla,Keeri Samba,Maha,4486,146
Ampara,Samba,Yala,3158,120
Monaragala,Keeri Samba,Yala,2275,129
Ampara,Nadu,Maha,3228,119
Badulla,Samba,Yala,3052,126
Ampara,Keeri Samba,Yala,3825,133
Monaragala,Keeri Samba,Yala,1731,134
Monaragala,Nadu,Maha,3348,109
Badulla,Nadu,Yala,2210,97
Badulla,Nadu,Maha,3925,113
Kandy,Nadu,Maha,3729,118
Monaragala,Samba,Maha,2920,129
Ampara,Nadu,Yala,1627,102
Badulla,Samba,Yala,876,123
Monaragala,Keeri Samba,Maha,1058,141
Kandy,Samba,Yala,771,123
Ampara,Samba,Maha,4362,140
Badulla,Keeri Samba,Maha,4085,144
Monaragala,Samba,Yala,2115,121
Kandy,Nadu,Maha,4377,117
Badulla,Keeri Samba,Yala,4550,130
Badulla,Samba,Maha,3851,135
Monaragala,Keeri Samba,Yala,3484,133
Ampara,Nadu,Yala,3261,101
Monaragala,Keeri Samba,Maha,4753,142
Ampara,Nadu,Maha,2310,119
Badulla,Nadu,Maha,1952,112
Ampara,Samba,Yala,3219,123
Ampara,Samba,Maha,2572,130
Badulla,Nadu,Maha,1024,114
Ampara,Nadu,Yala,2100,108
Kandy,Nadu,Maha,3255,115
Monaragala,Keeri Samba,Maha,3282,140
Monaragala,Samba,Maha,1352,131
Kandy,Samba,Maha,2080,128
Badulla,Samba,Yala,1668,124
Badulla,Keeri Samba,Yala,3245,126
Kandy,Nadu,Maha,3556,115
Ampara,Nadu,Maha,847,111
Kandy,Keeri Samba,Yala,2988,130
Badulla,Nadu,Yala,4347,101
Badulla,Keeri Samba,Yala,763,132
